City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Mareeba,AU,84.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
326,Namatanai,PG,83.62,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
328,Tautira,PF,77.92,light rain,-17.7333,-149.15,Pension Oaoa
336,Georgetown,MY,76.95,moderate rain,5.4112,100.3354,Cititel Penang
337,Corn Island,NI,82.69,overcast clouds,12.1694,-83.0418,Big Fish Guest House
342,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
343,Blackwater,AU,82.58,clear sky,-23.5833,148.8833,Blackwater Motor Inn
348,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
350,Presidencia Roque Saenz Pena,AR,72.5,clear sky,-26.7852,-60.4388,Hotel Gualok
356,Kavali,IN,75.83,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
359,Denia,ES,70.84,overcast clouds,38.8408,0.1057,Hotel Port Dénia
361,Tomatlan,MX,80.8,overcast clouds,19.9333,-105.25,El Salvial
363,Chabahar,IR,78.44,clear sky,25.2919,60.643,هتل گدروشیا
365,Meulaboh,ID,74.55,overcast clouds,4.1363,96.1285,Kost Pria
366,Ambilobe,MG,72.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
368,Diadema,BR,78.84,clear sky,-23.6861,-46.6228,Hotel Clube Residencial Inn
370,Kieta,PG,83.82,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
371,Puerto Del Rosario,ES,74.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
372,Sawakin,SD,83.34,clear sky,19.1059,37.3321,فندق الدويم
375,Xapuri,BR,75.18,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
376,Pontes E Lacerda,BR,75.4,overcast clouds,-15.2261,-59.3353,Hotel Bressan
379,Lastoursville,GA,71.01,broken clouds,-0.8143,12.7287,Auberge Bon Coin 02
382,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
383,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
386,Kati,ML,76.41,overcast clouds,12.7441,-8.0726,Lingot d’or
387,Harlingen,US,84.29,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
389,Kalmunai,LK,76.14,overcast clouds,7.4167,81.8167,VS Villa
391,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
392,Plettenberg Bay,ZA,71.96,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
394,Sola,VU,80.67,clear sky,-13.8833,167.55,Leumerus Bungalows
398,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
400,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
410,Ibotirama,BR,75.42,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
411,Coahuayana,MX,82.92,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
412,Ballina,AU,78.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
415,Flinders,AU,70.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
416,Inhambane,MZ,73.71,overcast clouds,-23.865,35.3833,Oceano
421,Port Blair,IN,79.86,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
424,Grand Gaube,MU,71.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
426,Permatang Kuching,MY,76.95,overcast clouds,5.4634,100.3814,Motel Rez
428,Alofi,NU,76.89,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
432,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
433,Kroya,ID,76.93,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
435,Labrea,BR,74.41,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
436,Eyl,SO,77.5,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
440,Lorengau,PG,84.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
441,Ranong,TH,76.91,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
442,Banda Aceh,ID,77.68,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
447,Ormara,PK,79.21,clear sky,25.2088,64.6357,Kenara Colony House for Rent
449,Chimore,BO,73.87,broken clouds,-16.9833,-65.1333,Bichito
453,Axim,GH,77.94,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
460,Mackay,AU,88.68,broken clouds,-21.15,149.2,International Lodge Motel
463,Whakatane,NZ,72.88,broken clouds,-37.9585,176.9854,Pacific Coast Motel
473,Puerto Quijarro,BO,70.61,overcast clouds,-17.7833,-57.7667,Hotel palance
475,Basiad,PH,80.37,moderate rain,14.1562,122.3375,Westkai Nature Park
477,Redlands,US,70.72,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
479,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
482,Port Hedland,AU,75.25,light rain,-20.3167,118.5667,The Esplanade Hotel
490,Tabou,CI,78.15,overcast clouds,4.423,-7.3528,hotêl doufoulougou
495,Bushehr,IR,76.19,clear sky,28.9684,50.8385,Yas Hotel
502,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
509,Camopi,GF,76.95,broken clouds,3.1655,-52.3158,La pousada
514,Bireun,ID,76.66,light rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
515,Eydhafushi,MV,80.8,overcast clouds,5.1033,73.0708,Soneva Fushi
518,Tevaitoa,PF,78.57,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
519,Wanning,CN,75.85,scattered clouds,18.8003,110.3967,Paradise Hotel
522,Filingue,NE,76.37,clear sky,14.3521,3.3168,Chez Zarkilou Issa
524,Mersing,MY,76.06,light rain,2.4312,103.8405,Timotel Hotel
525,Quatre Cocos,MU,71.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
526,Xai-Xai,MZ,71.24,scattered clouds,-25.0519,33.6442,Complexo da Familia
534,Norsup,VU,83.39,clear sky,-16.0667,167.3833,Nabelchel Bungalows
537,Taitung,TW,71.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
538,Yanam,IN,70.45,broken clouds,16.7333,82.2167,The Regency Hotel
540,Salinopolis,BR,79.77,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
543,Dondo,MZ,71.13,light rain,-19.6094,34.7431,Pensao Casual
546,Saint-Pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
552,Cockburn Town,TC,81.09,clear sky,21.4612,-71.1419,Osprey Beach Hotel
554,Sambava,MG,72.07,light rain,-14.2667,50.1667,Melrose
556,Trinidad,BO,80.89,moderate rain,-14.8333,-64.9,Hotel Piesta
557,Kaeo,NZ,70.32,broken clouds,-35.1,173.7833,Bushido Lodge
559,Townsville,AU,81.48,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
561,Kavaratti,IN,79.61,overcast clouds,10.5669,72.642,Green leaf
563,Manggar,ID,79.16,overcast clouds,-2.8833,108.2667,Guest Hotel
568,Kawalu,ID,73.02,overcast clouds,-7.3817,108.2082,West Jontor
573,Altagracia De Orituco,VE,72.84,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
576,Torit,SS,72.03,overcast clouds,4.4133,32.5678,Diplomat Guest House
578,Vanimo,PG,76.24,very heavy rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
579,Kiama,AU,70.57,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
590,Brightwater,NZ,72.55,few clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
594,Buchanan,LR,78.22,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
597,Linhares,BR,75.79,light rain,-19.3911,-40.0722,Hotel Conceição
601,Koppal,IN,73.02,broken clouds,15.35,76.15,Pal Business Shop
602,Mangochi,MW,75.25,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
608,Porto Novo,BJ,79.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
609,Seabra,BR,71.53,broken clouds,-12.4186,-41.7703,Cambuí Hotel
610,Wellington,NZ,71.26,clear sky,-41.2866,174.7756,CityLife Wellington
611,Moindou,NC,78.62,few clouds,-21.6924,165.677,Equi-lodge de Moindou
612,Atambua,ID,79.72,broken clouds,-9.1061,124.8925,Ros Muskanan
614,Xuddur,SO,71.17,clear sky,4.1213,43.8894,Banjanay Hotel
615,Black River,JM,80.1,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
618,Mecca,SA,77.97,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
619,Zwedru,LR,71.92,broken clouds,6.0667,-8.1281,Elijah Worjloh
622,Sorong,ID,80.11,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
624,Turbat,PK,74.71,clear sky,26.0023,63.044,Mubashar Quarters
626,Anori,BR,82.67,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
629,Tabuk,PH,74.68,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
630,Gorontalo,ID,79.05,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
635,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
639,Boyolangu,ID,75.33,overcast clouds,-8.1181,111.8935,Yos ega cv
642,Weligama,LK,73.85,overcast clouds,5.9667,80.4167,Weligama Bay Resort
643,Ilebo,CD,70.29,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
644,Novo Aripuana,BR,81.34,light rain,-5.1206,-60.3797,Hotel Ezequiel
645,Fort Myers Beach,US,80.06,clear sky,26.452,-81.9481,Lani Kai Island Resort
647,Sahuaripa,MX,75.4,scattered clouds,29.05,-109.2333,Estatua de Sahuaripa
651,Pundaguitan,PH,82.4,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
653,Palora,EC,77.11,moderate rain,-1.7,-77.9333,Rancho grande
655,Kaduqli,SD,72.68,clear sky,11.0167,29.7167,Nussyba
658,Sibolga,ID,74.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
670,Umm Lajj,SA,77.97,scattered clouds,25.0213,37.2685,Moon light Furnished Units
673,Morondava,MG,76.12,light rain,-20.2833,44.2833,La Case Bambou
674,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
677,Emerald,AU,82.35,few clouds,-23.5333,148.1667,Emerald Inn
678,Conceicao Da Barra,BR,76.73,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
686,Jibuti,DJ,71.1,clear sky,11.5,42.5,Orchid Main Camp Goubet
687,Jardim,BR,72.36,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
700,Maxixe,MZ,73.36,overcast clouds,-23.8597,35.3472,Oceano
701,Lake Jackson,US,73.96,mist,29.0339,-95.4344,"Candlewood Suites Lake Jackson-Clute, an IHG Hotel"
705,Naliya,IN,75.4,clear sky,23.2667,68.8333,jadeja jayendrasinh
706,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
708,Bengkulu,ID,74.19,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
710,Puerto Maldonado,PE,77.4,clear sky,-12.6,-69.1833,Wasai Hotel
714,Corralillo,CU,78.12,moderate rain,22.9819,-80.5856,Hostal De Pedri
716,Commerce,US,74.41,clear sky,34.0006,-118.1598,DoubleTree by Hilton Hotel Los Angeles - Commerce
719,Iracoubo,GF,79.56,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
721,Lubao,PH,82.11,broken clouds,14.9167,120.55,Hacienda Gracia
725,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
727,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
730,Sulangan,PH,83.05,overcast clouds,11.1373,123.7228,Maia's Beach Resort
733,Beruwala,LK,73.96,moderate rain,6.4788,79.9828,The Palms Hotel
739,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
743,Puyo,EC,76.24,scattered clouds,-1.4667,-77.9833,Hosteria Kindi Wasi
746,Kyaikkami,MM,78.57,overcast clouds,16.08,97.5675,St. joseph catholic church
747,Bentiu,SS,75.2,clear sky,9.2333,29.8333,Mandela hôtel
750,Manaure,CO,81.86,broken clouds,11.7751,-72.4445,Hotel Palaaima
751,Puerto Narino,CO,79.11,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
752,Kerema,PG,80.64,overcast clouds,-7.9631,145.7785,Frena Lodge
753,Cap Malheureux,MU,71.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
