City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Novopavlovka,RU,51.2172,109.2091,14.13,91,99,2.51,overcast clouds
172,Kodiak,US,57.79,-152.4072,33.31,86,0,4.61,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,75.78,72,65,11.18,broken clouds
174,Lebu,CL,-37.6167,-73.65,58.5,85,79,4.21,broken clouds
175,Canavieiras,BR,-15.675,-38.9472,76.82,89,62,8.66,broken clouds
176,Ponta Delgada,PT,37.7333,-25.6667,66.92,94,75,9.22,broken clouds
177,San Luis,AR,-33.295,-66.3356,71.2,28,0,7.81,clear sky
178,Ondjiva,AO,-17.0667,15.7333,75.36,13,8,6.73,clear sky
179,Nishihara,JP,26.1842,127.7558,71.26,73,40,9.22,scattered clouds
180,Bulnes,CL,-36.7423,-72.2985,72.36,53,49,10.07,scattered clouds
181,Nanortalik,GL,60.1432,-45.2371,30.76,91,99,9.8,overcast clouds
182,Aklavik,CA,68.2191,-135.0107,17.26,92,100,19.6,light snow
183,Pervomayskoye,RU,43.919,46.7102,40.39,69,4,8.34,clear sky
184,Winslow,US,35.0242,-110.6974,50.18,29,0,4.61,clear sky
185,Byron Bay,AU,-28.65,153.6167,78.71,44,1,5.66,clear sky
186,Goderich,CA,43.7501,-81.7165,32.92,67,100,5.01,overcast clouds
187,Sakakah,SA,29.9697,40.2064,64.69,75,89,9.93,overcast clouds
188,New Norfolk,AU,-42.7826,147.0587,45.9,84,100,4.0,light rain
189,Flin Flon,CA,54.7682,-101.865,10.31,95,53,2.48,broken clouds
190,Sortland,NO,68.6949,15.4162,37.38,79,77,4.79,broken clouds
191,Kambam,ID,5.2505,96.8629,77.22,86,100,5.59,moderate rain
192,Dabat,ET,12.9842,37.765,53.69,64,60,1.05,broken clouds
193,Lengshuitan,CN,26.4111,111.5956,52.52,79,100,3.36,overcast clouds
194,Liverpool,GB,53.4106,-2.9779,50.54,89,20,6.91,few clouds
195,Samarai,PG,-10.6167,150.6667,84.2,72,86,7.63,overcast clouds
196,Chirongui,YT,-12.9319,45.1483,78.73,82,2,8.77,clear sky
197,Srandakan,ID,-7.9386,110.2506,75.74,88,100,2.42,overcast clouds
198,Mahebourg,MU,-20.4081,57.7,71.26,62,87,15.23,overcast clouds
199,Krasnyy Klyuch,RU,55.3863,56.6529,22.86,91,100,9.28,light snow
200,Nelson Bay,AU,-32.7167,152.15,73.11,58,6,8.99,clear sky
201,Palmas Bellas,PA,9.2319,-80.0867,79.25,95,100,3.47,moderate rain
202,Kavieng,PG,-2.5744,150.7967,84.67,68,99,12.1,overcast clouds
203,Biak,ID,-0.9131,122.8766,79.65,74,100,2.06,overcast clouds
204,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,35,0,10.0,clear sky
205,Amurzet,RU,47.6967,131.0981,22.39,52,55,3.98,broken clouds
206,Daru,PG,-9.0763,143.2092,82.02,79,100,4.0,overcast clouds
207,Jining,CN,35.405,116.5814,40.78,67,9,5.28,clear sky
208,Curumani,CO,9.1999,-73.5427,76.06,96,63,1.77,broken clouds
209,Elesbao Veloso,BR,-6.2019,-42.1403,81.99,58,70,3.0,broken clouds
210,Bhinmal,IN,25.0,72.25,69.58,40,0,2.98,clear sky
211,Caravelas,BR,-17.7125,-39.2481,76.68,88,24,11.3,few clouds
